component_id,iddq_uA_0h,iddq_uA_24h,iddq_uA_96h,iddq_uA_168h,leakage_current_uA_0h,leakage_current_uA_24h,leakage_current_uA_96h,leakage_current_uA_168h,propagation_delay_ns_0h,propagation_delay_ns_24h,propagation_delay_ns_96h,propagation_delay_ns_168h,voltage_V_0h,voltage_V_24h,voltage_V_96h,voltage_V_168h,temperature_C_0h,temperature_C_24h,temperature_C_96h,temperature_C_168h,module_a_label,iddq_drift_168h_true,iddq_drift_24h_pct,iddq_drift_96h_pct,leakage_drift_96h_pct,delay_drift_96h_pct
SYN_C00001,95.96249174358485,98.2991359661116,101.40020821259252,103.56025134318047,44.16682980896445,45.90829473450366,45.48532470264753,48.02164619015673,9.524726130132159,9.58745805139876,9.741382313495668,9.9044478444419,1.1913118676585892,1.2019589337495964,1.1859397446753686,1.183367082031397,126.49436995084449,126.4218634371883,124.86620697932538,124.55631861092859,1,0.08325946045360426,2.4349557624768154,5.666501953218804,2.985260430476875,2.274671002645443
SYN_C00002,97.8199718536251,,104.81036153320792,109.691830405936,54.055600586485056,56.30122149578737,59.025174467586574,64.58647583917413,10.012688750567708,10.149755590613415,10.428672086131174,10.655708674504751,1.203607383995798,1.2167004723783001,1.199475862313645,1.1990650455833438,122.84350715326991,124.6086232223721,125.68235238102157,125.30494592240308,1,0.14185685718184116,,7.1461783796493314,9.19344864765781,4.154561735876189
SYN_C00003,118.27166387609398,116.5964481063939,118.99794300681107,118.15508591076384,56.65351168604534,56.742847202442896,55.50308785070499,57.70513457924474,10.184981792439705,10.266290431695618,10.20618571291561,10.227930787461212,1.1983573911988086,1.2032500944756115,1.1894112584755123,1.2080455113526136,124.50458601151583,124.61942494054767,124.97652522150962,125.77229419713012,0,0.019030087716174086,-1.4164134626998313,0.6140770383326704,-2.0306311137703323,0.20818810389670767
SYN_C00004,102.05377563241566,104.96113461458671,108.45003111324985,115.1698110619781,49.73810828756447,51.21894012778493,54.942226069881684,57.89634477331406,9.770224538017466,9.9308634301655,10.266386291441462,10.429707974959085,1.208972090124541,1.2172438153528622,1.205933268801363,1.2051877703438614,125.3274490144602,125.02561996092588,125.56743038730977,123.70632826251352,1,0.12422627468600883,2.848849995166248,6.267534386843912,10.463039229858177,5.078304510744387
SYN_C00005,93.11729901361981,92.80648077515738,92.53828168194907,93.27577299110303,51.275313831349905,52.048799066718715,53.02439974461711,50.89443157335794,10.122620182055305,10.113811864734702,10.00400570081879,10.15151410423088,1.2078694603856166,1.1949205287666695,1.2065543171209965,1.198326908150686,122.920330746147,125.54057247959311,125.86726252140022,124.90642972166734,0,0.00047256802560292856,-0.3337921543632505,-0.6218149987211838,3.411165690804225,-1.1717764679819396
SYN_C00006,103.99372194292839,105.39001593177541,104.8336763606763,105.74482493784477,52.59893150933489,54.989522529238094,54.53756215613376,54.10254951162814,9.49382160973322,9.426634171898243,9.472969441254092,9.528335046241748,1.2010183800265124,,1.198506380489993,1.1970053373657972,127.16454735912204,125.08341497661718,125.37998598635225,124.76583418632306,0,0.011125512384782654,1.3426714255051901,0.8076972360012946,3.6856844638656128,-0.2196393542696334
SYN_C00007,95.1758798213406,96.36884880629003,95.65398354848473,96.80262049001675,45.98095325051752,46.30943750557808,45.533658782019465,46.04802246530658,10.148994552072748,10.10951419246832,10.165386091515266,10.18281516735299,1.2090142387724616,1.2223650267961845,1.2132941145847604,1.2160132909190613,125.61711174174725,125.76063218025959,125.59338241698305,126.28919822903728,0,0.004466197094344837,1.253436256317055,0.5023370711587883,-0.9727820692647845,0.16150899833885649
SYN_C00008,105.32033489296447,109.96228359285716,124.09506165101891,140.14884612197955,53.69176344345803,56.46288798629907,63.702627209688366,72.98956284903151,10.54605212484028,10.971280037945835,11.52069728938809,12.10131833136285,1.1910338851326578,1.185415172932647,1.1674581616691102,1.1604915481164422,123.65651092446112,124.3340626644258,124.5290228265787,125.26347940876772,1,0.33529874755544664,4.407457215750633,17.826307500004557,18.645064203884125,9.241801130985513
SYN_C00009,98.7142842570543,99.19297533736535,100.08732478461565,99.60161427323209,48.21823414844239,48.03409696554308,48.663405166420354,49.31577437491021,9.508917681217397,9.484019258445676,9.491135456934876,9.56497714277978,1.1975008118651875,1.1982811972664522,1.205570600124229,1.1996234020339225,125.6206789267919,125.30697006531963,124.27307887959896,125.6953755140774,0,0.014150411586864888,0.48492584828405255,1.3909238545314415,0.9232420594405839,-0.18700576531066623
SYN_C00010,98.86632805984814,97.93568148180458,97.0250246675211,98.70623048925019,58.82626423913768,57.70421787778814,57.29428702984466,57.55972515923442,9.56216945288572,9.529927559138933,9.511228791729193,9.588084115871338,1.2025457369521528,1.2044844147636458,1.206155368906402,1.2082130413174534,125.08412866350517,125.12754934057931,124.51707135624584,125.10412956900386,0,0.011236108550228788,-0.9413180364908496,-1.862417092311173,-2.6042401792935523,-0.5327312113377616
SYN_C00011,107.84765069454998,115.50389704559927,129.08856435269738,142.1148209576201,50.32990939941502,53.540891046078855,59.480356430288374,68.82223795221272,10.565550677316516,10.745088586756362,11.340889789382842,11.930815831171506,1.2085722489378,1.191926223660596,1.175800508415256,1.1703267595639666,125.09375612588589,125.03995750301921,124.59958105767602,125.61742616791966,1,0.3082812560549193,7.099131322511224,19.695295652110843,18.180932849006293,7.338369156005512
SYN_C00012,103.37362866555988,103.29093457572618,103.70365988352214,103.96064947397326,52.570284482497776,52.933487277278445,53.41338717966691,,9.405742851748128,9.42866121530632,9.423781768899278,9.524448042193587,1.2241435227683153,1.2258442611641047,1.21721659096915,1.2161873865006634,124.02728820920953,125.33059344879663,122.54381520007816,,0,0.0039140642966032325,-0.07999534397813472,0.3192605524470785,1.6037628585590609,0.1917862037637749
SYN_C00013,106.02616007803745,105.7018848273288,105.71728776660932,104.9737350285747,50.28666000409933,48.65672430660972,50.75903368055925,49.31895576567441,10.34675396175586,10.340401222830367,10.405597951287849,10.470552706455209,1.1880140686932312,1.1963156231486345,1.1996836647325309,1.186338764568234,124.73879872541063,125.12401027656877,124.96131367031269,125.88962262710105,0,0.010117759749058033,-0.30584456748219385,-0.29131707797471473,0.9393618037495612,0.5687193273319356
SYN_C00014,103.1053875679992,103.67822425940348,108.36499441550126,115.36961695021648,55.58883542850862,57.9449025829541,62.83237738757039,66.10304290077542,9.98103400577267,10.083497408123858,10.307351369247355,10.798285967897769,1.1940431437123453,1.1775430546374053,1.169341533262304,1.174481190582983,122.69241878253972,126.358733031545,124.17271106560175,125.4356499514719,1,0.14874710629279247,0.5555836653312458,5.101194972991381,13.030569723622843,3.2693743282104273
SYN_C00015,97.73154843623254,97.8069207324157,99.2266138307432,97.77976415177127,48.295846303114146,49.23357789657308,48.098409398937335,48.66124106719803,9.848049313146571,9.823120871206818,9.743338020837603,9.852922858144208,1.1938857135102101,1.1855049374644175,1.1845709364808439,1.1824057353420943,124.47034238508648,124.21209544834129,127.1526071329143,124.51421352731506,0,0.010394787154569365,0.07712176609208224,1.529767427645081,-0.40880721488481403,-1.0632693742626236
SYN_C00016,103.55544210073157,105.38061108713313,102.62908013047141,104.4330140779854,53.47787476432487,54.59940819607158,52.581750732317204,52.95444244050985,10.586846636540104,10.49917837016834,10.583421037174535,10.67277187120996,1.167584123509688,1.1638916093230636,1.1627622989556716,1.1678276093931557,124.28288010124076,126.43680697813144,124.24989023945669,126.15144577929895,0,0.008406031875735588,1.7625041710759792,-0.8945565307509956,-1.6756911824878178,-0.032357126566332
