component_id,hour,iddq_uA,leakage_current_uA,propagation_delay_ns,voltage_V,temperature_C,is_measurement_outlier
SYN_C00001,0,95.96249174358485,44.16682980896445,9.524726130132159,1.1913118676585892,126.49436995084449,0
SYN_C00001,24,98.2991359661116,45.90829473450366,9.58745805139876,1.2019589337495964,126.4218634371883,0
SYN_C00001,96,101.40020821259252,45.48532470264753,9.741382313495668,1.1859397446753686,124.86620697932538,0
SYN_C00001,168,103.56025134318047,48.02164619015673,9.9044478444419,1.183367082031397,124.55631861092859,0
SYN_C00002,0,97.8199718536251,54.055600586485056,10.012688750567708,1.203607383995798,122.84350715326991,0
SYN_C00002,24,,56.30122149578737,10.149755590613415,1.2167004723783001,124.6086232223721,0
SYN_C00002,96,104.81036153320792,59.025174467586574,10.428672086131174,1.199475862313645,125.68235238102157,0
SYN_C00002,168,109.691830405936,64.58647583917413,10.655708674504751,1.1990650455833438,125.30494592240308,0
SYN_C00003,0,118.27166387609398,56.65351168604534,10.184981792439705,1.1983573911988086,124.50458601151583,0
SYN_C00003,24,116.5964481063939,56.742847202442896,10.266290431695618,1.2032500944756115,124.61942494054767,0
SYN_C00003,96,118.99794300681107,55.50308785070499,10.20618571291561,1.1894112584755123,124.97652522150962,0
SYN_C00003,168,118.15508591076384,57.70513457924474,10.227930787461212,1.2080455113526136,125.77229419713012,0
SYN_C00004,0,102.05377563241566,49.73810828756447,9.770224538017466,1.208972090124541,125.3274490144602,0
SYN_C00004,24,104.96113461458671,51.21894012778493,9.9308634301655,1.2172438153528622,125.02561996092588,0
SYN_C00004,96,108.45003111324985,54.942226069881684,10.266386291441462,1.205933268801363,125.56743038730977,0
SYN_C00004,168,115.1698110619781,57.89634477331406,10.429707974959085,1.2051877703438614,123.70632826251352,0
SYN_C00005,0,93.11729901361981,51.275313831349905,10.122620182055305,1.2078694603856166,122.920330746147,0
SYN_C00005,24,92.80648077515738,52.048799066718715,10.113811864734702,1.1949205287666695,125.54057247959311,0
SYN_C00005,96,92.53828168194907,53.02439974461711,10.00400570081879,1.2065543171209965,125.86726252140022,0
SYN_C00005,168,93.27577299110303,50.89443157335794,10.15151410423088,1.198326908150686,124.90642972166734,0
SYN_C00006,0,103.99372194292839,52.59893150933489,9.49382160973322,1.2010183800265124,127.16454735912204,0
SYN_C00006,24,105.39001593177541,54.989522529238094,9.426634171898243,,125.08341497661718,0
SYN_C00006,96,104.8336763606763,54.53756215613376,9.472969441254092,1.198506380489993,125.37998598635225,0
SYN_C00006,168,105.74482493784477,54.10254951162814,9.528335046241748,1.1970053373657972,124.76583418632306,0
SYN_C00007,0,95.1758798213406,45.98095325051752,10.148994552072748,1.2090142387724616,125.61711174174725,0
SYN_C00007,24,96.36884880629003,46.30943750557808,10.10951419246832,1.2223650267961845,125.76063218025959,0
SYN_C00007,96,95.65398354848473,45.533658782019465,10.165386091515266,1.2132941145847604,125.59338241698305,0
SYN_C00007,168,96.80262049001675,46.04802246530658,10.18281516735299,1.2160132909190613,126.28919822903728,0
