component_id,component_type,module_a_label,iddq_baseline,leakage_baseline,delay_baseline,voltage_baseline,iddq_drift_168h_true
SYN_C00001,drifting,1,96.14637424250895,44.08428906844702,9.560647644049562,1.190833724905948,0.08325946045360426
SYN_C00002,drifting,1,97.21013995726904,54.48821836929597,10.02165309968559,1.210183020941228,0.14185685718184116
SYN_C00003,normal,0,116.46927054184074,56.48257405399739,10.182926992446466,1.197959608562174,0.019030087716174086
SYN_C00004,drifting,1,102.10506651230276,50.511050779774145,9.782515662513987,1.218849191963524,0.12422627468600883
SYN_C00005,normal,0,93.10009667048152,51.996407531753015,10.092731882337304,1.2009560192411548,0.00047256802560292856
SYN_C00006,normal,0,104.21343601988632,53.24317301015149,9.455389527648723,1.1994382547585405,0.011125512384782654
SYN_C00007,normal,0,95.44980555399427,46.02599078126519,10.157929143259327,1.216477421744665,0.004466197094344837
SYN_C00008,anomalous,1,104.54530753902549,52.78483383585327,10.578179209748216,1.1949360508894828,0.33529874755544664
SYN_C00009,normal,0,98.94518860314659,48.72068061669732,9.504968814192805,1.1996225054825989,0.014150411586864888
SYN_C00010,normal,0,97.80102075255296,56.87217268945054,9.480818662392863,1.2016000353855478,0.011236108550228788
SYN_C00011,anomalous,1,108.04582484413791,49.435221290003916,10.475968425481664,1.1989874801265095,0.3082812560549193
SYN_C00012,normal,0,102.83200676329622,52.72454666951498,9.473744876241549,1.217403269249613,0.0039140642966032325
SYN_C00013,normal,0,104.86494718724603,49.4647612089196,10.336240391390037,1.18999797336811,0.010117759749058033
SYN_C00014,drifting,1,102.17459839759974,56.59007826899134,10.022139394378573,1.1875454050038357,0.14874710629279247
SYN_C00015,normal,0,97.77777738103451,48.462949348883285,9.832871222868976,1.1840747942126466,0.010394787154569365
SYN_C00016,normal,0,103.05677210129105,53.49526636198217,10.586609931202396,1.1678725189262722,0.008406031875735588
SYN_C00017,normal,0,106.04607696342231,51.88003364735584,10.37125912336681,1.222256131176008,0.0008434448926701443
SYN_C00018,normal,0,100.67369021758776,51.212929884992484,10.111886251316747,1.1864882001195955,0.004135544968280174
SYN_C00019,drifting,1,109.00821302173253,50.68702220313432,9.138933392582487,1.1964210711145813,0.11652954335436067
SYN_C00020,normal,0,104.25243601600954,47.99896244690941,10.28490148656042,1.223369791465657,0.01937632961349732
SYN_C00021,drifting,1,101.05991274885805,42.24183106869777,9.571656029672395,1.1978716944637666,0.05213891816264774
SYN_C00022,anomalous,1,101.25743265508909,53.22317632538484,9.911447220308037,1.20771606634512,0.28695392681304144
SYN_C00023,normal,0,100.68618564483812,48.533482668967146,10.002933627371808,1.1786911112163736,0.0037698047546577884
SYN_C00024,anomalous,1,93.74380607202504,53.50880043104609,10.758910928489987,1.2209753171485902,0.33096021171385104
SYN_C00025,normal,0,99.54963902095697,51.05509330374699,9.898703176820314,1.1981760293259023,0.009175261974134295
SYN_C00026,drifting,1,101.10593242670583,53.60077034306036,9.4308912655788,1.1847255847492264,0.06488810694765176
SYN_C00027,normal,0,97.91957439366736,52.40567756032842,10.587857483329408,1.1847146402002262,0.005880806933871956
SYN_C00028,normal,0,101.68838509352348,42.605914458562395,10.290292885999287,1.2253496380420532,0.015136952053953785
SYN_C00029,anomalous,1,100.10653745177555,51.84468684874399,10.305190321975331,1.1912073439054565,0.32749954323736113
SYN_C00030,normal,0,103.86845945549385,48.96897354315655,10.595367201411673,1.1850510828556402,0.011561767355166902
SYN_C00031,normal,0,103.31556190532865,53.495033561804526,10.689283539453193,1.1935039580871623,0.014308165647179124
SYN_C00032,normal,0,100.8357664379242,51.7736224854104,9.643306374460186,1.2006805860126206,0.012739535523399986
SYN_C00033,normal,0,93.16393554349001,51.80890711389682,9.443604098903313,1.2022772916197697,0.010073982382143716
SYN_C00034,normal,0,108.95361369340586,49.18327161287525,10.336987697408686,1.2066653639815366,0.01921245502348643
SYN_C00035,normal,0,99.29054500714429,47.26218142367662,9.895013073277173,1.2035214155895921,0.014063665165444151
